,actor_1_name,director_name
740,Tom Hanks,Robert Zemeckis
741,Jesse McCartney,Tim Hill
742,Will Smith,Andy Tennant
743,Will Smith,Gabriele Muccino
744,Christian Bale,Mike Gabriel
745,Marlon Brando,Richard Donner
746,Jada Pinkett Smith,Tom Shadyac
747,Tom Hanks,Paul Greengrass
748,Brendan Fraser,Sam Weisman
749,Alyson Hannigan,Jesse Dylan
750,Denzel Washington,Antoine Fuqua
751,Eric Idle,Brad Silberling
752,Mila Kunis,Shawn Levy
753,Bob Hoskins,Wayne Wang
754,Denzel Washington,Tony Scott
755,Erika Christensen,Robert Schwentke
756,Demi Moore,Barry Levinson
757,Nicolas Cage,Brad Silberling
758,Julie Walters,Paul King
759,David Carradine,Quentin Tarantino
760,Madeline Carroll,Mark Waters
761,Robert Downey Jr.,Frank Oz
762,Vivica A. Fox,Quentin Tarantino
763,Sylvester Stallone,Andrey Konchalovskiy
764,Bruce Willis,Robert Zemeckis
765,Xander Berkeley,Tom Dey
766,Oliver Platt,Stuart Baird
767,Amy Poehler,Jimmy Hayward
768,Charles S. Dutton,David Fincher
769,Jet Li,Rob Minkoff
770,Gerard Butler,Joel Schumacher
771,Ty Burrell,James Bobin
772,Andrea Corr,Alan Parker
773,Robert De Niro,John Frankenheimer
774,Eric Dane,Steve Antin
775,Tom Wilkinson,Stephen Hopkins
776,Angelina Jolie Pitt,Clint Eastwood
777,Will Forte,Akiva Schaffer
778,Will Forte,Akiva Schaffer
779,Connie Nielsen,William Friedkin
780,Anthony Hopkins,Jon Turteltaub
781,Matt Damon,Bobby Farrelly
782,Will Ferrell,Kent Alterman
783,Charlize Theron,Karyn Kusama
784,Keanu Reeves,Andrew Davis
785,Robert De Niro,Tony Scott
786,Eddie Redmayne,Shekhar Kapur
787,Stephen Root,Karey Kirkpatrick
788,Billy Campbell,Ron Maxwell
789,Hector Elizondo,Robert Butler
790,Sylvester Stallone,Walter Hill
791,Kate Winslet,Steven Zaillian
792,Sophia Myles,Jonathan Frakes
793,Denis Lavant,Jean-Pierre Jeunet
794,Sylvester Stallone,Jim Gillespie
795,Margot Kidder,Richard Lester
796,Todd Stashwick,Anthony Russo
797,Will Smith,Gabriele Muccino
798,Al Pacino,Francis Ford Coppola
799,Orlando Bloom,Cameron Crowe
800,Todd Giebenhain,Martin Brest
801,Christian Bale,John Singleton
802,Alice Greczyn,Jay Chandrasekhar
803,Gerard Butler,F. Gary Gray
804,Kirsten Dunst,Don Bluth
805,Jim Broadbent,Baz Luhrmann
806,Steve Buscemi,Harold Becker
807,Paul Walker,Clint Eastwood
808,Quentin Tarantino,Robert Rodriguez
809,Oprah Winfrey,Jonathan Demme
810,Jennifer Ehle,Kathryn Bigelow
811,Leonardo DiCaprio,Steven Spielberg
812,Colin Firth,Phyllida Lloyd
813,Jon Favreau,Peyton Reed
814,Bradley Cooper,Garry Marshall
815,Robert De Niro,Martin Scorsese
816,Ryan Reynolds,David Dobkin
817,Nick Stahl,Terrence Malick
818,Kasia Smutniak,Pierre Morel
819,Jaime King,Paul Hunter
820,Robert Forster,Bobby Farrelly
821,Matthew Broderick,John Whitesell
822,Matt Damon,George Nolfi
823,Robert Pattinson,Chris Weitz
824,Kathleen Freeman,Andrew Adamson
825,Mila Kunis,Seth MacFarlane
826,Channing Tatum,Phil Lord
827,Alan Rickman,Kevin Reynolds
828,Tom Cruise,Cameron Crowe
829,Will Ferrell,Sean Anders
830,Lupe Ontiveros,James L. Brooks
831,Robin Williams,Tom Shadyac
832,Johnny Depp,Rob Marshall
833,Harrison Ford,Adam McKay
834,Joel Courtney,J.J. Abrams
835,Steve Buscemi,Steven Brill
836,Dwayne Johnson,Rawson Marshall Thurber
837,Julia Roberts,Steven Soderbergh
838,Matthew McConaughey,Donald Petrie
839,Brad Pitt,Neil Jordan
840,Bradley Cooper,Peyton Reed
841,Liam Neeson,Jaume Collet-Serra
842,Julia Roberts,Chris Columbus
843,Bradley Cooper,Tom Dey
844,Denzel Washington,Spike Lee
845,Ryan Gosling,Glenn Ficarra
846,Bill Duke,Brian Helgeland
847,Nicolas Cage,Alex Proyas
848,Naomi Watts,Hideo Nakata
849,Scarlett Johansson,Cameron Crowe
850,Philip Seymour Hoffman,Bennett Miller
851,Bill Murray,Peter Hewitt
852,Jamie Lee Curtis,Joe Roth
853,Natalie Portman,James McTeigue
854,Kevin Spacey,Wolfgang Petersen
855,Dwayne Johnson,Andy Fickman
856,Scoot McNairy,Angela Robinson
857,Fann Wong,David Dobkin
858,Will Ferrell,Matthew O'Callaghan
859,Alyson Hannigan,Jon Hurwitz
860,Jeremy Renner,Tommy Wirkola
861,Alex Pettyfer,D.J. Caruso
862,Oliver Platt,Gary Fleder
863,Olivier Martinez,Adrian Lyne
864,Milla Jovovich,Alexander Witt
865,Channing Tatum,Jorge R. Gutiérrez
866,Clint Eastwood,Clint Eastwood
867,Jimmy Bennett,Richard Loncraine
868,Deborah Kara Unger,David Fincher
869,Viggo Mortensen,Ridley Scott
870,Matt Walsh,Steven Quale
871,Robert Downey Jr.,David Dobkin
872,Radha Mitchell,Christophe Gans
873,Keanu Reeves,Howard Deutch
874,Kevin Spacey,F. Gary Gray
875,Louis Lombardi,John Landis
876,Christopher Lee,Joe Dante
877,Armin Mueller-Stahl,Mimi Leder
878,Denzel Washington,Carl Franklin
879,Colin Firth,Beeban Kidron
880,Leonardo DiCaprio,Danny Boyle
881,Taylor Lautner,Robert Rodriguez
882,Mike Starr,Steven Seagal
883,Shô Kosugi,James McTeigue
884,Amber Valletta,Garry Marshall
885,J.K. Simmons,Sam Raimi
886,Emma Stone,Tom Dey
887,Demi Moore,Andrew Bergman
888,Matt Damon,Clint Eastwood
889,Ryan Gosling,Barbet Schroeder
890,Ryan Gosling,Barbet Schroeder
891,Muse Watson,Richard Donner
892,Milla Jovovich,Ben Stiller
893,Li Gong,Peter Webber
894,Bruce Willis,Rob Reiner
895,J.D. Evermore,Andrew Niccol
896,Doona Bae,Joon-ho Bong
897,Connie Nielsen,John McTiernan
898,Liam Neeson,Jaume Collet-Serra
899,Clint Eastwood,Clint Eastwood
900,Naomi Watts,Tom Tykwer
901,Steve Buscemi,John Carpenter
902,Bill Murray,Wes Anderson
903,Natalie Portman,David Gordon Green
904,Naomi Watts,Jim Sheridan
905,Matthew McConaughey,Gary Ross
906,Gerard Butler,Mark Neveldine
907,Kevin Spacey,Alan Parker
908,Alden Ehrenreich,Richard LaGravenese
909,Paul Walker,John Stockwell
910,Viggo Mortensen,David Cronenberg
911,Joe Mantegna,Patrick Read Johnson
912,Paul Brooke,Luc Besson
913,Naomi Watts,Doug Liman
914,Nicolas Cage,Patrick Lussier
915,Mia Kirshner,Costa-Gavras
916,Gary Oldman,Roland Joffé
917,Ian Ziering,Tony Scott
918,Michael Biehn,William Friedkin
919,Chris Klein,Andrzej Bartkowiak
920,Robin Williams,Danny DeVito
921,Morgan Freeman,George Armitage
922,Judy Greer,Mike Nichols
923,Tom Hardy,Daniel Espinosa
924,Jason Statham,James Wong
925,Hugh Jackman,Neill Blomkamp
926,Lauren Holly,Renny Harlin
927,Kelly Macdonald,Joe Wright
928,Harrison Ford,Steven Spielberg
929,Michael O'Neill,Steven Soderbergh
930,Kristen Stewart,David Fincher
931,Liam Neeson,Olivier Megaton
932,Mark Margolis,John McTiernan
933,Denzel Washington,Phillip Noyce
934,Judy Greer,David O. Russell
935,P.J. Soles,Chuck Bowman
936,Corinna Harney,Jerry Zucker
937,Christian Bale,James Mangold
938,Kevin Spacey,Iain Softley
939,Hugh Jackman,James Mangold
940,Brendan Fraser,Harold Ramis
941,Don Cheadle,Steven Soderbergh
942,Nicolas Cage,Francis Ford Coppola
943,Joseph Gilgun,Brad Furman
944,Charlie Korsmo,Warren Beatty
945,Matthew Broderick,Ben Stiller
946,Nandita Das,Deepa Mehta
947,Rosie Perez,Penny Marshall
948,Sarah Michelle Gellar,Paul Bolger
949,Donatas Banionis,Andrei Tarkovsky
950,Michael Fassbender,Jimmy Hayward
951,Julia Roberts,Stephen Frears
952,Julia Roberts,P.J. Hogan
953,Julia Roberts,Joe Roth
954,LeVar Burton,Jonathan Frakes
955,Al Pacino,Christopher Nolan
956,Denzel Washington,Edward Zwick
957,Laurence Olivier,Terence Young
958,Maura Tierney,Tom Shadyac
959,Kevin Spacey,John Lasseter
960,Liam Neeson,Olivier Megaton
961,Jonathan Winters,Brian Levant
962,Regina Hall,David Zucker
963,Candice Bergen,Donald Petrie
964,Josh Hutcherson,Eric Brevig
965,Denzel Washington,Alan J. Pakula
966,Anne Hathaway,Garry Marshall
967,Morgan Freeman,Rob Reiner
968,Bradley Whitford,Joel Schumacher
969,Bill Cobbs,James Bobin
970,Harrison Ford,Phillip Noyce
971,Adam Scott,Robert Luketic
972,Denzel Washington,Antoine Fuqua
973,Alan Rickman,Dean Parisot
974,Natasha Lyonne,Keenen Ivory Wayans
975,Channing Tatum,Thomas Carter
976,Gerard Butler,Andy Tennant
977,Sydney Pollack,Roger Michell
978,Frank Welker,Luis Llosa
979,Sophia Myles,Len Wiseman
980,Adam Garcia,David McNally
981,Colin Firth,Richard Curtis
982,Sylvester Stallone,Luis Llosa
983,Don Johnson,Ron Shelton
984,Lucille Ball,Melville Shavelson
985,Josh Hutcherson,Jesse Dylan
986,Zooey Deschanel,Garth Jennings
987,Milla Jovovich,Russell Mulcahy
988,Dania Ramirez,Joel Zwick
989,Demián Bichir,Oliver Stone
990,Meryl Streep,Curtis Hanson
991,Bella Thorne,Frank Coraci
992,LL Cool J,Wayne Wang
993,Bruce Willis,Richard Donner
994,Steve Coogan,Frank Oz
995,Richard Burgi,David R. Ellis
996,Nicolas Cage,John A. Davis
997,Kevin McNally,Peter Howitt
998,Virginia Madsen,David Lynch
999,Malese Jow,John Schultz
1000,Jim Sturgess,Julie Taymor
1001,Jim Sturgess,Julie Taymor
1002,Leonardo DiCaprio,Sam Mendes
1003,Vin Diesel,Mathieu Kassovitz
1004,Alexa PenaVega,John Gray
1005,John de Lancie,Harold Ramis
1006,Costas Mandylor,Sean Penn
1007,Jim Belushi,Roman Polanski
1008,Matt Damon,Billy Bob Thornton
1009,Nicolas Cage,Danny Pang
1010,Anthony Hopkins,Oliver Stone
1011,Wood Harris,Pete Travis
1012,Wood Harris,Pete Travis
1013,Djimon Hounsou,Stephen Sommers
1014,Daniel Kaluuya,Oliver Parker
1015,Joseph Gordon-Levitt,Spike Lee
1016,Zooey Deschanel,Barry Sonnenfeld
1017,Marcela Mar,Mike Newell
1018,Mel Blanc,Norman Ferguson
1019,Sam Waterston,George P. Cosmatos
1020,Jerry Stiller,Lawrence Kasanoff
1021,Clea DuVall,Ben Affleck
1022,Harrison Ford,Andrew Davis
1023,Sylvester Stallone,George P. Cosmatos
1024,Robert De Niro,Barry Levinson
1025,Augustus Prew,Burr Steers
1026,Joseph Gordon-Levitt,Brian Gibson
1027,James Franco,Evan Goldberg
1028,Jeff Bridges,Michael Cimino
1029,Michael Rapaport,Paul Feig
1030,F. Murray Abraham,Gus Van Sant
1031,Steve Buscemi,Betty Thomas
1032,Judith Chapman,Roger Kumble
1033,Jason Statham,Simon West
1034,Tom Cruise,Sydney Pollack
1035,Channing Tatum,Phil Lord
1036,Julia Roberts,Roger Michell
1037,Imelda Staunton,Peter Lord
1038,Philip Seymour Hoffman,John Hamburg
1039,John Witherspoon,Reginald Hudlin
1040,Bono,Larry Charles
1041,Martin Landau,Joseph L. Mankiewicz
1042,Salma Hayek,Frank Coraci
1043,Morgan Freeman,Carl Franklin
1044,Jeff Bridges,Barbra Streisand
1045,Gary Oldman,Catherine Hardwicke
1046,Debra Messing,Mark Pellington
1047,Robert Davi,John Glen
1048,Robert De Niro,John Herzfeld
1049,Nicolas Cage,Andrew Niccol
1050,Bob Hoskins,Annabel Jankel
1051,Robert Clohessy,Asger Leth
1052,Tony Cox,Sngmoo Lee
1053,Tim Conway,
1054,Omar Sy,Jean-Pierre Jeunet
1055,Mekhi Phifer,Curtis Hanson
1056,Heath Ledger,Brian Helgeland
1057,Julian Sands,Gordon Chan
1058,Joel McHale,David Frankel
1059,Bruce Willis,M. Night Shyamalan
1060,Jennifer Ehle,Sam Taylor-Johnson
1061,Ryan Reynolds,Anne Fletcher
1062,Jennifer Lawrence,David O. Russell
1063,Tom Welling,Shawn Levy
1064,Scarlett Johansson,Luc Besson
1065,Jerry Ferrara,Peter Berg
1066,Lea Thompson,Robert Zemeckis
1067,Bruce Greenwood,Bruce Beresford
1068,Sylvester Stallone,Robert Rodriguez
1069,Kevin Spacey,Joel Schumacher
1070,Tom Hanks,Penny Marshall
1071,Harrison Ford,Brian Helgeland
1072,Meryl Streep,Nora Ephron
1073,Carmen Perez,Ken Kwapis
1074,Olivia Munn,Tim Story
1075,Beau Mirchoff,David Zucker
1076,Will Ferrell,Etan Cohen
1077,Kelly Rutherford,Wes Craven
1078,Lea Thompson,Robert Zemeckis
1079,Bill Murray,Bobby Farrelly
1080,Don Johnson,Nick Cassavetes
1081,Keanu Reeves,Francis Ford Coppola
1082,Paul Walker,Frank Marshall
1083,Philip Seymour Hoffman,Anthony Minghella
1084,Robert De Niro,Nancy Meyers
1085,Wes Studi,Michael Mann
1086,Bokeem Woodbine,Taylor Hackford
1087,Tom Hanks,Steven Spielberg
1088,Dennis Quaid,Pete Travis
1089,J.K. Simmons,John Hamburg
1090,Jason Alexander,Bobby Farrelly
1091,Sally Kirkland,Oliver Stone
1092,Chloë Grace Moretz,John Whitesell
1093,J.K. Simmons,Gore Verbinski
1094,Krista Allen,David R. Ellis
1095,Matthew Perry,Burr Steers
1096,Pink,Nicholas Stoller
1097,Robert Downey Jr.,Mathieu Kassovitz
1098,Joaquim de Almeida,John Moore
1099,Matthew McConaughey,Brad Furman
1100,Lisa Ann Walter,Peter Chelsom
1101,Brendan Fraser,Cal Brunker
1102,Kirsten Dunst,Joe Dante
1103,Michael Jai White,Mark A.Z. Dippé
1104,Kevin Spacey,Sean Anders
1105,Henry Cavill,Kevin Reynolds
1106,Christian Bale,Christopher Nolan
1107,Keanu Reeves,Alejandro Agresti
1108,Topher Grace,Nimród Antal
1109,Jennifer Garner,Peter Hedges
1110,Joe Don Baker,John Glen
1111,Rudy Youngblood,Mel Gibson
1112,Brad Garrett,Marc Lawrence
1113,Brian Dennehy,Ivan Reitman
1114,Johnny Depp,David Koepp
1115,Gena Rowlands,Iain Softley
1116,Johnny Cannizzaro,Clint Eastwood
1117,Busy Philipps,Paul Weiland
1118,Matt Damon,Francis Ford Coppola
1119,Lorraine Bracco,John McTiernan
1120,Anthony Hopkins,Steven Spielberg
1121,Liam Neeson,Seth MacFarlane
1122,Emma Bell,Steven Quale
1123,Jimmy Fallon,Bobby Farrelly
1124,Sam Trammell,Colin Strause
1125,James Wilcox,Jake Kasdan
1126,Alison Brie,Wes Craven
1127,Macaulay Culkin,Donald Petrie
1128,J.K. Simmons,Joan Chen
1129,Bobby Lee,Greg Mottola
1130,Miriam Margolyes,Anne Fletcher
1131,Jordi Mollà,Olivier Megaton
1132,Nicolas Cage,Joel Schumacher
1133,Adam Arkin,Diane Keaton
1134,Michael Wincott,Oliver Stone
1135,Jeanne Tripplehorn,Kelly Makin
1136,Kevin Spacey,Mimi Leder
1137,Lisa Ann Walter,Steven Brill
1138,Tom Hanks,Stephen Daldry
1139,Jonathan Winters,Russell Mulcahy
1140,Noah Bean,Roger Michell
1141,50 Cent,Jim Sheridan
1142,Michael Biehn,Christian Duguay
1143,Robert De Niro,Peter Segal
1144,Rufus Sewell,Chuck Russell
1145,Rosario Dawson,Chris Columbus
1146,Oliver Hudson,Sam Weisman
1147,Marlon Brando,John Frankenheimer
1148,Catherine Deneuve,Peter Hyams
1149,Natalie Portman,Justin Chadwick
1150,Keanu Reeves,Pat O'Connor
1151,Ed Begley Jr.,Penny Marshall
1152,Rae Dawn Chong,Jean-Jacques Annaud
1153,Robert De Niro,Michael Caton-Jones
1154,Mira Sorvino,Irwin Winkler
1155,Dane Cook,Joseph Kahn
1156,Bill Murray,Wes Anderson
1157,Bobbie Phillips,Paul Verhoeven
1158,Al Pacino,Harold Becker
1159,Ted Danson,Ken Kwapis
1160,Naomi Watts,J.A. Bayona
1161,John Gatins,Brian Robbins
1162,Kirsten Dunst,Sofia Coppola
1163,Sylvester Stallone,Stephen Kay
1164,Nicolas Cage,Barbet Schroeder
1165,Angelina Jolie Pitt,Stephen Herek
1166,Carol Kane,Elaine May
1167,Richard Epcar,John Carpenter
1168,Josh Hutcherson,Paul Weitz
1169,Mary-Kate Olsen,Dennie Gordon
1170,Alexa PenaVega,Ulu Grosbard
1171,Omar Epps,Charles Shyer
1172,Natascha McElhone,William Malone
1173,Bernie Mac,Malcolm D. Lee
1174,Ray Winstone,Pierre Morel
1175,Michael Jai White,Mic Rodgers
1176,Norman Reedus,Christian Alvart
1177,Justin Theroux,Danny DeVito
1178,M. Emmet Walsh,Jerry Jameson
1179,Tamannaah Bhatia,S.S. Rajamouli
1180,Gary Dourdan,Gary Fleder
1181,Daniel Radcliffe,Paul McGuigan
1182,Daniel Radcliffe,Paul McGuigan
1183,Daniel Radcliffe,Paul McGuigan
1184,Rufus Sewell,Christian Duguay
1185,Bridgette Wilson-Sampras,Jean-Marie Poiré
1186,Chris Evans,Joon-ho Bong
1187,Chris Evans,Danny Boyle
1188,Jennifer Jason Leigh,Joel Coen
1189,Eric Idle,Marc F. Adler
1190,James Brolin,Richard Shepard
1191,Alex Pettyfer,Geoffrey Sax
1192,Takeshi Kaneshiro,John Woo
1193,Matthew Broderick,Jeff Nathanson
1194,Jet Li,Peter Ho-Sun Chan
1195,Adam Goldberg,Bibo Bergeron
1196,Blythe Auffarth,Yuefeng Song
1198,Arliss Howard,Robert Schwentke
1199,Margot Kidder,Richard Lester
1200,Colin Ferguson,Michael Lehmann
1201,Martin Landau,Tim Burton
1202,Austin Pendleton,Jonathan Lynn
1203,Adam Baldwin,Joss Whedon
1204,Omar Epps,Charles S. Dutton
1205,Ethan Embry,Andy Tennant
1206,Gerard Butler,Robert Luketic
1207,Steve Buscemi,Robert Rodriguez
1208,LeVar Burton,David Carson
1209,D.B. Woodside,Andy Fickman
1210,Thomas Bo Larsen,Thomas Vinterberg
1211,Robert Pattinson,Francis Lawrence
1212,Denzel Washington,Norman Jewison
1213,Vin Diesel,David Twohy
1214,Sarah Silverman,David Mirkin
1215,Bill Cobbs,Michael Apted
1216,Chloë Grace Moretz,J Blakeson
1217,Chris Hemsworth,Ron Howard
1218,Sonia Braga,Luis Mandoki
1219,Jim Belushi,John Pasquin
1220,Johnny Depp,Roman Polanski
1221,J.K. Simmons,Michael Apted
1222,Beth Grant,Stephen Herek
1223,Wilford Brimley,John Carpenter
1224,Jeff Bridges,Ridley Scott
1225,Bill Murray,Gil Kenan
1226,Gregory Scott Cummins,Jeb Stuart
1227,Tom Skerritt,Steve Miner
1228,Hayden Christensen,David Leland
1229,Anna Kendrick,Kirk Jones
1230,Mike Howard,Paul Thomas Anderson
1231,Dennis Quaid,Gary Fleder
1232,Laura-Leigh,Rawson Marshall Thurber
1233,Sylvester Stallone,Ryan Coogler
1234,Jeremy Renner,Ben Affleck
1235,J.K. Simmons,Ethan Coen
1236,Gerard Butler,Jennifer Flackett
1237,Alison Brie,Christian Ditter
1238,Bruce Willis,Kevin Smith
1239,Anthony Hopkins,Mikael Håfström
1240,Cheryl Hines,Kirk De Micco
1241,Patton Oswalt,Paul Thomas Anderson
1242,Emma Stone,Cameron Crowe
1243,Emma Stone,Cameron Crowe
1244,Yuliya Snigir,Fedor Bondarchuk
1245,Denzel Washington,Nick Cassavetes
1246,Peter Greene,Les Mayfield
1247,Bernie Casey,Irvin Kershner
1248,Charlie McDermott,Steve Pink
1249,Kathleen Quinlan,Jonathan Mostow
1250,Morgan Freeman,Charles Martin Smith
1251,Vin Diesel,F. Gary Gray
1252,Charlize Theron,John Frankenheimer
1253,Rick Yune,Scott Hicks
1254,Alexa PenaVega,Rob Reiner
1255,Blair Underwood,Andrew Niccol
1256,Stockard Channing,Andrew Bergman
1257,Mike Tyson,Wilson Yip
1258,Jordi Mollà,Roland Joffé
1259,Bernie Mac,Chris Rock
1260,Catherine Dyer,John Lee Hancock
1261,Michael Gough,Tim Burton
1262,Muse Watson,Jay Roach
1263,Matt Damon,Ethan Coen
1264,Rene Russo,Richard Donner
1265,Jon Favreau,Seth Gordon
1266,Meryl Streep,David Frankel
1267,Kevin Spacey,Seth Gordon
1268,Alexa PenaVega,Robert Rodriguez
1269,Amy Schumer,Judd Apatow
1270,Tom Hanks,John Lee Hancock
1271,Leonard Nimoy,Robert Wise
1272,Kevin Spacey,Robert Luketic
1273,Treat Williams,Tom Vaughan
1274,Robert De Niro,Martin Scorsese
1275,Colin Firth,Anthony Minghella
1276,Bernie Mac,Kevin Rodney Sullivan
1277,Charlyne Yi,Judd Apatow
1278,Kevin Spacey,Curtis Hanson
1279,Michael Angarano,Mike Mitchell
1280,Tom Selleck,Frank Oz
1281,Dylan Baker,Tarsem Singh
1282,Natasha Henstridge,Roger Donaldson
1283,Jon Lovitz,Dennis Dugan
1284,Scott Glenn,Randall Wallace
1285,Leonardo DiCaprio,Randall Wallace
1286,Mila Kunis,Will Gluck
1287,Chloë Grace Moretz,Nicholas Stoller
1288,Chris Evans,Kevin Munroe
1289,Alfre Woodard,Michael Tollin
1290,Robin Williams,Walt Becker
1291,Denzel Washington,Spike Lee
1292,Craig Parker,Patrick Tatopoulos
1293,Stockard Channing,Gary David Goldberg
1294,Robin Williams,Ken Kwapis
1295,Johnny Depp,Mike Newell
1296,Mila Kunis,John Moore
1297,Milla Jovovich,Paul W.S. Anderson
1298,J.K. Simmons,Ethan Coen
1299,Ashley Williams,Luke Greenfield
1300,Keisha Castle-Hughes,Catherine Hardwicke
1301,Matt Bomer,Andrew Niccol
1302,Danneel Ackles,Alan Poul
1303,Leonardo DiCaprio,Clint Eastwood
1304,Jim Gaffigan,Anne Fletcher
1305,Will Smith,Peter Landesman
1306,Natalie Portman,Mike Nichols
1307,Ming-Na Wen,Steven E. de Souza
1308,Tom Wilkinson,Gil Junger
1309,Tatum O'Neal,Michael Ritchie
1310,Emilia Fox,Roman Polanski
1311,Johnny Depp,Albert Hughes
1312,Johnny Depp,Albert Hughes
1313,Jason Flemyng,Alexandre Aja
1314,Aaliyah,Michael Rymer
1315,Daniel Mays,Susanna White
1316,Billy Burke,Gregory Hoblit
1317,Adam Baldwin,Stephen Hopkins
1318,Ken Arnold,John Singleton
1319,Brian Blessed,Mike Hodges
1320,Drake Bell,Craig Mazin
1321,Brendan Fraser,Hugh Wilson
1322,Cicely Tyson,Rob Cohen
1323,Stephen Root,Kevin Smith
1324,Kevin Spacey,Clint Eastwood
1325,Frank Whaley,Danny DeVito
1326,Anne Hathaway,Tommy O'Haver
1327,Joseph Gordon-Levitt,David Koepp
1328,Alona Tal,Allen Hughes
1329,Jim Broadbent,Gary Chapman
1330,Robert Downey Jr.,Curtis Hanson
1331,Tim Meadows,Jake Kasdan
1332,Djimon Hounsou,Shekhar Kapur
1333,Brendan Fraser,Roger Kumble
1334,Alex Russell,Kimble Rendall
1335,Meryl Streep,Robert Redford
1336,Rosanna Arquette,John Milius
1337,Brad Pitt,Terrence Malick
1338,Gregory Smith,Les Mayfield
1339,Kevin Zegers,Peter Hewitt
1340,Kevin Spacey,Lasse Hallström
1341,Michiel Huisman,Jean-Marc Vallée
1342,Mireille Enos,David Ayer
1343,Mireille Enos,David Ayer
1344,Paul Sorvino,Hark Tsui
1345,Tom Skerritt,Dominic Sena
1346,Tom Wilkinson,Ken Scott
1347,Hugh Jackman,Darren Aronofsky
1348,Joseph Gordon-Levitt,Robert Zemeckis
1349,Terry Pheto,Justin Chadwick
1350,Julie Benz,Lexi Alexander
1351,Archie Panjabi,Ridley Scott
1352,Peter Coyote,Brian De Palma
1353,Marley Shelton,Ronny Yu
1354,Adam Baldwin,Richard Donner
1355,Jim Broadbent,Bille August
1356,Gerard Butler,Gabriele Muccino
1357,Oliver Reed,Moustapha Akkad
1358,Jeremy W. Auman,Ang Lee
1359,Nicolas Cage,Simon West
1360,Salma Hayek,Joachim Rønning
1361,Tamsin Egerton,Roland Joffé
1362,Tamsin Egerton,Roland Joffé
1364,Max Minghella,Chris Gorak
1365,Ki Hong Lee,Wes Ball
1366,Tiago Riani,George Tillman Jr.
1367,Richard E. Grant,Martin Scorsese
1368,David Paymer,Hugh Johnson
1369,Johnny Depp,Rand Ravich
1370,Johnny Depp,Rand Ravich
1371,Liam Aiken,Hugh Hudson
1372,Kyle Hebert,Jeremy Degruson
1373,Tom Cruise,Rob Reiner
1374,Nia Long,Raja Gosnell
1375,Michael Jai White,Andrzej Bartkowiak
1376,Ryan Guzman,Scott Speer
1377,Laura Harring,Jonathan Hensleigh
1378,Jason Statham,Boaz Yakin
1379,Ryan Kruger,Neil Marshall
1380,Angelina Jolie Pitt,Mike Newell
1381,Sean Pertwee,Danny Cannon
1382,Callum Rennie,Jean-Pierre Jeunet
1383,Harrison Ford,Richard Marquand
1384,Kate Winslet,Stephen Daldry
1385,Robin Williams,Justin Zackham
1386,Justin Theroux,David Wain
1387,Peter Dinklage,Jon Favreau
1388,Robert Duvall,Jon Turteltaub
1389,Channing Tatum,Evan Goldberg
1390,James Coburn,Brian Levant
1391,Ana de la Reguera,Jared Hess
1392,Bill Murray,Richard Donner
1393,Paul Walker,John Luessenhop
1394,Jake Gyllenhaal,Duncan Jones
1395,Nia Long,Rupert Wainwright
1396,Robert De Niro,George Tillman Jr.
1397,Brandon T. Jackson,John Whitesell
1398,Illeana Douglas,Frank Marshall
1399,Logan Lerman,Joel Schumacher
1400,Christopher Lee,Steven Spielberg
1401,Ken Howard,John Gatins
1402,Viggo Mortensen,David Cronenberg
1403,Steve Buscemi,Don Scardino
1404,Leonardo DiCaprio,Sam Raimi
1405,Frances Fisher,Peter Howitt
1406,Rob Riggle,Nanette Burstein
1407,Nicolas Cage,Martin Scorsese
1408,Alice Braga,Miguel Sapochnik
1409,Haley Joel Osment,Norman Jewison
1410,George Kennedy,Mark Dindal
1411,Bill Murray,Tim Robbins
1412,Tony Curran,Steven Soderbergh
1414,Harrison Ford,Francis Ford Coppola
1415,Gary Oldman,Ariel Vromen
1416,Denzel Washington,Robert Zemeckis
1417,Alicia Witt,Stephen Herek
1418,Meryl Streep,Sydney Pollack
1419,Desmond Llewelyn,Lewis Gilbert
1420,Bill Murray,Wes Anderson
1421,Chris Hemsworth,John Francis Daley
1422,Dennis Quaid,Gregory Hoblit
1423,Anthony Hopkins,Scott Hicks
1424,Harrison Ford,Tom Vaughan
1425,Tom Hanks,John Lasseter
1426,Colm Feore,Rob Marshall
1427,Steve Buscemi,Dennis Dugan
1428,Alyson Hannigan,J.B. Rogers
1429,Channing Tatum,Michael Sucsy
1430,Keanu Reeves,Jan de Bont
1431,Scott Glenn,John McTiernan
1432,Alex Pettyfer,Lee Daniels
1433,Ryan Gosling,Boaz Yakin
1434,Sharlto Copley,Neill Blomkamp
1435,Gary Cole,Rawson Marshall Thurber
1436,Gary Cole,Rawson Marshall Thurber
1437,Anjelica Huston,Barry Sonnenfeld
1438,Bruce Spence,Steve Oedekerk
1439,Anne Hathaway,Garry Marshall
1440,Robert De Niro,Harold Ramis
1441,Stockard Channing,Hugh Wilson
1442,Clint Eastwood,Clint Eastwood
1443,Morgan Freeman,David Fincher
1444,John Doman,Clint Eastwood
1445,Scarlett Johansson,Stephen Hillenburg
1446,J.K. Simmons,Jason Reitman
1447,Ryan Gosling,Nick Cassavetes
1448,Emily Osment,Peter Chelsom
1449,Judy Greer,Anne Fletcher
1450,Elizabeth Daily,Stig Bergqvist
1451,George Carlin,Barbra Streisand
